"filename", "language", "JavaScript", "Markdown", "TypeScript", "JavaScript React", "Prisma", "SCSS", "CSS", "Rust", "Solidity", "HTTP", "comment", "blank", "total"
"/Users/user/init/1day10k/1229/example/other/api/rs/statement.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/1229/example/other/api/sol/example.sol", "Solidity", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/1229/example/other/api/sol/express.sol", "Solidity", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/1229/example/other/api/sol/statement.sol", "Solidity", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/1229/example/other/db/prisma/scheme.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/1229/example/other/other/test.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2
"/Users/user/init/1day10k/1229/example/other/test/example.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/1229/example/other/view/react/statement.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/1229/example/other/view/react/statement.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/1229/example/other/view/style/style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/1229/example/test/chai.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/1229/example/test/jest.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/1229/example/view/react/react.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/1229/example/view/react/recoil.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/1229/example/view/style/example.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/1229/example/view/style/styled.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/1229/jest.test.js", "JavaScript", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 19, 123
"/Users/user/init/1day10k/1229/line.md", "Markdown", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/user/init/1day10k/1229/nest.ts", "TypeScript", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 19, 33, 186
"/Users/user/init/1day10k/1229/next.jsx", "JavaScript React", 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 60, 35, 228
"/Users/user/init/1day10k/1229/typescript.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/1229/view/react.jsx", "JavaScript React", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 28, 33, 168
"/Users/user/init/1day10k/1229/view/recoil.jsx", "JavaScript React", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 8, 21
"/Users/user/init/1day10k/1229/view/redux.jsx", "JavaScript React", 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 48, 51, 268
"Total", "-", 553, 16, 134, 418, 97, 0, 0, 0, 0, 1, 353, 389, 1961
