"filename", "language", "Solidity", "Markdown", "comment", "blank", "total"
"/Users/user/init/10k1day/202210/1021-1031/1025/1000/StableSwap.sol", "Solidity", -40, 0, -1, -10, -51
"/Users/user/init/10k1day/202210/1021-1031/1025/1000/swap.sol", "Solidity", -14, 0, -7, -4, -25
"/Users/user/init/10k1day/202210/1021-1031/1025/1100/Chainlink.sol", "Solidity", -43, 0, 0, -11, -54
"/Users/user/init/10k1day/202210/1021-1031/1025/1100/CrowdFound.sol", "Solidity", -92, 0, 0, -23, -115
"/Users/user/init/10k1day/202210/1021-1031/1025/1100/DutchAuction.sol", "Solidity", -46, 0, 0, -9, -55
"/Users/user/init/10k1day/202210/1021-1031/1025/1100/EnglishAuction.sol", "Solidity", -15, 0, 0, -6, -21
"/Users/user/init/10k1day/202210/1021-1031/1025/1100/Proxy.sol", "Solidity", -36, 0, 0, -11, -47
"/Users/user/init/10k1day/202210/1021-1031/1025/1200/Bitwise.sol", "Solidity", -27, 0, 0, -11, -38
"/Users/user/init/10k1day/202210/1021-1031/1025/1200/CSAMM.sol", "Solidity", -68, 0, 0, -10, -78
"/Users/user/init/10k1day/202210/1021-1031/1025/1200/ContractSize.sol", "Solidity", -31, 0, 0, -7, -38
"/Users/user/init/10k1day/202210/1021-1031/1025/1200/ExternalContract.sol", "Solidity", -20, 0, 0, -8, -28
"/Users/user/init/10k1day/202210/1021-1031/1025/1200/HoneyPot.sol", "Solidity", -46, 0, 0, -14, -60
"/Users/user/init/10k1day/202210/1021-1031/1025/1200/Overflow.sol", "Solidity", -30, 0, 0, -10, -40
"/Users/user/init/10k1day/202210/1021-1031/1025/1200/Randomness.sol", "Solidity", -24, 0, 0, -6, -30
"/Users/user/init/10k1day/202210/1021-1031/1025/1300/DataLocations.sol", "Solidity", -31, 0, 0, -6, -37
"/Users/user/init/10k1day/202210/1021-1031/1025/1300/FunctionModifier.sol", "Solidity", -35, 0, 0, -10, -45
"/Users/user/init/10k1day/202210/1021-1031/1025/1300/Library.sol", "Solidity", -36, 0, 0, -14, -50
"/Users/user/init/10k1day/202210/1021-1031/1025/1300/MerkleTree.sol", "Solidity", -47, 0, 0, -9, -56
"/Users/user/init/10k1day/202210/1021-1031/1025/1300/MultiDelegatecall.sol", "Solidity", -64, 0, 0, -17, -81
"/Users/user/init/10k1day/202210/1021-1031/1025/1300/MultiSigWallet.sol", "Solidity", -113, 0, 0, -27, -140
"/Users/user/init/10k1day/202210/1021-1031/1025/1300/Vault.sol", "Solidity", -31, 0, 0, -8, -39
"/Users/user/init/10k1day/202210/1021-1031/1025/1400/Create2.sol", "Solidity", -27, 0, 0, -7, -34
"/Users/user/init/10k1day/202210/1021-1031/1025/1400/SendingEther.sol", "Solidity", -19, 0, 0, -5, -24
"/Users/user/init/10k1day/202210/1021-1031/1025/1400/Super.sol", "Solidity", -34, 0, 0, -11, -45
"/Users/user/init/10k1day/202210/1021-1031/1025/1400/UpgradeableProxy.sol", "Solidity", -141, 0, 0, -44, -185
"/Users/user/init/10k1day/202210/1021-1031/1025/1500/BiDirectionalPayment.sol", "Solidity", -67, 0, 0, -16, -83
"/Users/user/init/10k1day/202210/1021-1031/1025/1500/CallingContract.sol", "Solidity", -28, 0, 0, -9, -37
"/Users/user/init/10k1day/202210/1021-1031/1025/1500/Inheritance.sol", "Solidity", -36, 0, 0, -11, -47
"/Users/user/init/10k1day/202210/1021-1031/1025/1600/BLockTimestamp.sol", "Solidity", -14, 0, 0, -6, -20
